State Code,State,Case Number,County Code,County,Monthid,Month,Day,Day of Month,Day of Week,Weekday,Year,Hour,Hour Range,Minute,Minute Digit,Latitude,Latitudeid,Longitude,Longitudeid,Light Conditionid,Light Condition,Weatherid,Weather Condition,Number of Deaths
37,North Carolina,370030,51,CUMBERLAND (51),1,January,15,15,6,Friday,2021,4,4:00am-4:59am,47,47,35.03007222,35.03007222,-79.03765278,-79.03765278,2,Dark - Not Lighted,1,Clear,1
37,North Carolina,370031,61,DUPLIN (61),1,January,26,26,3,Tuesday,2021,8,8:00am-8:59am,6,6,34.86748056,34.86748056,-77.79289722,-77.79289722,1,Daylight,2,Rain,2
37,North Carolina,370032,63,DURHAM (63),1,January,1,1,6,Friday,2021,5,5:00am-5:59am,30,30,35.90758056,35.90758056,-78.97652222,-78.97652222,2,Dark - Not Lighted,10,Cloudy,1
37,North Carolina,370033,63,DURHAM (63),1,January,6,6,4,Wednesday,2021,15,3:00pm-3:59pm,27,27,35.99391111,35.99391111,-78.87438889,-78.87438889,1,Daylight,1,Clear,1
37,North Carolina,370034,63,DURHAM (63),1,January,23,23,7,Saturday,2021,13,1:00pm-1:59pm,22,22,35.98105,35.98105,-78.81931389,-78.81931389,1,Daylight,1,Clear,1
37,North Carolina,370035,65,EDGECOMBE (65),1,January,11,11,2,Monday,2021,8,8:00am-8:59am,23,23,35.90511389,35.90511389,-77.7404,-77.7404,2,Dark - Not Lighted,1,Clear,1
37,North Carolina,370036,67,FORSYTH (67),1,January,9,9,7,Saturday,2021,9,9:00am-9:59am,43,43,36.09453333,36.09453333,-80.23327778,-80.23327778,1,Daylight,1,Clear,1
37,North Carolina,370037,67,FORSYTH (67),1,January,8,8,6,Friday,2021,23,11:00pm-11:59pm,5,5,36.16341111,36.16341111,-80.27773333,-80.27773333,3,Dark - Lighted,10,Cloudy,1
37,North Carolina,370038,67,FORSYTH (67),1,January,13,13,4,Wednesday,2021,15,3:00pm-3:59pm,3,3,36.029825,36.029825,-80.260525,-80.260525,1,Daylight,1,Clear,1
37,North Carolina,370039,67,FORSYTH (67),1,January,29,29,6,Friday,2021,6,6:00am-6:59am,48,48,36.06691667,36.06691667,-80.25804722,-80.25804722,3,Dark - Lighted,1,Clear,1
37,North Carolina,370040,67,FORSYTH (67),1,January,31,31,1,Sunday,2021,22,10:00pm-10:59pm,4,4,36.06545278,36.06545278,-80.29968889,-80.29968889,3,Dark - Lighted,10,Cloudy,1
37,North Carolina,370041,67,FORSYTH (67),1,January,2,2,7,Saturday,2021,18,6:00pm-6:59pm,25,25,36.06639444,36.06639444,-80.21861667,-80.21861667,3,Dark - Lighted,5,"Fog, Smog, Smoke",1
37,North Carolina,370042,69,FRANKLIN (69),1,January,9,9,7,Saturday,2021,12,12:00pm-12:59pm,38,38,36.003025,36.003025,-78.36526111,-78.36526111,1,Daylight,1,Clear,1
37,North Carolina,370043,71,GASTON (71),1,January,6,6,4,Wednesday,2021,20,8:00pm-8:59pm,26,26,35.41182222,35.41182222,-81.40433889,-81.40433889,2,Dark - Not Lighted,1,Clear,1
37,North Carolina,370044,71,GASTON (71),1,January,29,29,6,Friday,2021,0,0:00am-0:59am,23,23,35.39755278,35.39755278,-81.43613333,-81.43613333,2,Dark - Not Lighted,1,Clear,1
37,North Carolina,370045,71,GASTON (71),1,January,22,22,6,Friday,2021,22,10:00pm-10:59pm,42,42,35.30716111,35.30716111,-81.03189167,-81.03189167,3,Dark - Lighted,1,Clear,1
37,North Carolina,370046,75,GRAHAM (75),1,January,1,1,6,Friday,2021,0,0:00am-0:59am,32,32,35.38523056,35.38523056,-83.71476389,-83.71476389,2,Dark - Not Lighted,10,Cloudy,1
37,North Carolina,370047,77,GRANVILLE (77),1,January,22,22,6,Friday,2021,19,7:00pm-7:59pm,18,18,36.11668889,36.11668889,-78.62095556,-78.62095556,2,Dark - Not Lighted,1,Clear,1
37,North Carolina,370048,79,GREENE (79),1,January,1,1,6,Friday,2021,12,12:00pm-12:59pm,11,11,35.41441389,35.41441389,-77.59081944,-77.59081944,1,Daylight,2,Rain,1
37,North Carolina,370049,81,GUILFORD (81),1,January,5,5,3,Tuesday,2021,4,4:00am-4:59am,41,41,36.06231389,36.06231389,-79.79336944,-79.79336944,2,Dark - Not Lighted,10,Cloudy,1
37,North Carolina,370051,81,GUILFORD (81),1,January,25,25,2,Monday,2021,12,12:00pm-12:59pm,21,21,36.08050556,36.08050556,-79.82712222,-79.82712222,1,Daylight,2,Rain,1
37,North Carolina,370052,81,GUILFORD (81),1,January,25,25,2,Monday,2021,1,1:00am-1:59am,56,56,36.20869722,36.20869722,-79.92287222,-79.92287222,2,Dark - Not Lighted,10,Cloudy,1
37,North Carolina,370053,81,GUILFORD (81),1,January,16,16,7,Saturday,2021,19,7:00pm-7:59pm,30,30,36.06951111,36.06951111,-79.764325,-79.764325,3,Dark - Lighted,1,Clear,1
37,North Carolina,370054,81,GUILFORD (81),1,January,31,31,1,Sunday,2021,13,1:00pm-1:59pm,44,44,35.92555833,35.92555833,-80.01591111,-80.01591111,1,Daylight,10,Cloudy,1
37,North Carolina,370055,83,HALIFAX (83),1,January,27,27,4,Wednesday,2021,15,3:00pm-3:59pm,57,57,36.45336111,36.45336111,-77.65459167,-77.65459167,1,Daylight,1,Clear,1
37,North Carolina,370056,83,HALIFAX (83),1,January,8,8,6,Friday,2021,18,6:00pm-6:59pm,13,13,36.41869444,36.41869444,-77.63421111,-77.63421111,2,Dark - Not Lighted,2,Rain,1
37,North Carolina,370057,85,HARNETT (85),1,January,25,25,2,Monday,2021,17,5:00pm-5:59pm,27,27,35.33295833,35.33295833,-78.54112222,-78.54112222,5,Dusk,2,Rain,1
37,North Carolina,370058,89,HENDERSON (89),1,January,10,10,1,Sunday,2021,23,11:00pm-11:59pm,48,48,35.35473333,35.35473333,-82.426325,-82.426325,2,Dark - Not Lighted,1,Clear,1
37,North Carolina,370059,93,HOKE (93),1,January,24,24,1,Sunday,2021,18,6:00pm-6:59pm,25,25,35.00321111,35.00321111,-79.17995,-79.17995,3,Dark - Lighted,1,Clear,1
37,North Carolina,370060,93,HOKE (93),1,January,30,30,7,Saturday,2021,21,9:00pm-9:59pm,48,48,34.83788611,34.83788611,-79.27449167,-79.27449167,2,Dark - Not Lighted,10,Cloudy,1
37,North Carolina,370061,93,HOKE (93),1,January,27,27,4,Wednesday,2021,18,6:00pm-6:59pm,21,21,35.01440278,35.01440278,-79.15887778,-79.15887778,2,Dark - Not Lighted,1,Clear,1
37,North Carolina,370062,97,IREDELL (97),1,January,31,31,1,Sunday,2021,18,6:00pm-6:59pm,5,5,35.63007222,35.63007222,-80.86249167,-80.86249167,5,Dusk,5,"Fog, Smog, Smoke",1
37,North Carolina,370063,99,JACKSON (99),1,January,6,6,4,Wednesday,2021,22,10:00pm-10:59pm,45,45,35.422375,35.422375,-83.11092222,-83.11092222,2,Dark - Not Lighted,1,Clear,1
37,North Carolina,370064,99,JACKSON (99),1,January,29,29,6,Friday,2021,21,9:00pm-9:59pm,3,3,35.32763056,35.32763056,-83.20386389,-83.20386389,2,Dark - Not Lighted,1,Clear,1
37,North Carolina,370065,101,JOHNSTON (101),1,January,9,9,7,Saturday,2021,14,2:00pm-2:59pm,43,43,35.57287778,35.57287778,-78.17657222,-78.17657222,1,Daylight,1,Clear,1
37,North Carolina,370066,101,JOHNSTON (101),1,January,13,13,4,Wednesday,2021,17,5:00pm-5:59pm,51,51,35.64043889,35.64043889,-78.33849444,-78.33849444,2,Dark - Not Lighted,1,Clear,1
37,North Carolina,370067,107,LENOIR (107),1,January,10,10,1,Sunday,2021,2,2:00am-2:59am,38,38,35.18639722,35.18639722,-77.62196944,-77.62196944,2,Dark - Not Lighted,1,Clear,1
